,genre,metascore,imdbrating,internet_movie_database_rating,rotten_tomato_rating,metacritic_rating,budget
0,Action,74.0,8.8,8.8,87.0,74.0,160000000.0
1,Action,57.0,7.0,7.0,72.0,57.0,200000000.0
2,Mystery,63.0,8.2,8.2,68.0,63.0,80000000.0
3,Action,69.0,7.5,7.5,82.0,69.0,60000000.0
4,Comedy,30.0,6.0,6.0,11.0,30.0,80000000.0
5,Comedy,46.0,6.4,6.4,58.0,46.0,20000000.0
6,Action,66.0,7.6,7.6,76.0,66.0,30000000.0
7,Drama,79.0,8.0,8.0,85.0,79.0,13000000.0
8,Crime,74.0,7.5,7.5,92.0,74.0,37000000.0
9,Adventure,65.0,7.7,7.7,77.0,65.0,0.0
10,Comedy,45.0,7.7,7.7,54.0,45.0,14000000.0
11,Biography,95.0,7.7,7.7,96.0,95.0,40000000.0
12,Action,53.0,6.6,6.6,43.0,53.0,200000000.0
13,Action,53.0,6.6,6.6,43.0,53.0,100000000.0
14,Action,53.0,6.6,6.6,43.0,53.0,200000000.0
15,Action,53.0,6.6,6.6,43.0,53.0,100000000.0
16,Adventure,63.0,6.4,6.4,73.0,63.0,500000.0
17,Horror,52.0,6.8,6.8,66.0,52.0,1500000.0
18,Animation,71.0,7.7,7.7,89.0,71.0,260000000.0
19,Action,60.0,7.0,7.0,72.0,60.0,58000000.0
20,Horror,27.0,6.3,6.3,32.0,27.0,2000000.0
21,Action,20.0,4.0,4.0,5.0,20.0,150000000.0
22,Animation,75.0,8.1,8.1,99.0,75.0,165000000.0
23,Crime,61.0,6.3,6.3,66.0,61.0,20000000.0
24,Drama,80.0,8.3,8.3,92.0,80.0,6800000.0
25,Comedy,27.0,4.5,4.5,15.0,27.0,100000000.0
26,Drama,47.0,6.4,6.4,37.0,47.0,55000000.0
27,Adventure,53.0,6.4,6.4,51.0,53.0,200000000.0
28,Animation,72.0,7.6,7.6,81.0,72.0,69000000.0
29,Drama,80.0,7.6,7.6,95.0,80.0,38000000.0
30,Action,37.0,6.0,6.0,20.0,37.0,100000000.0
31,Action,58.0,5.0,5.0,47.0,58.0,68000000.0
32,Action,39.0,5.8,5.8,27.0,39.0,15000000.0
33,Action,39.0,5.8,5.8,27.0,39.0,125000000.0
34,Action,53.0,6.9,6.9,46.0,53.0,80000000.0
35,Drama,81.0,7.3,7.3,86.0,81.0,1000000.0
36,Action,46.0,6.3,6.3,52.0,46.0,117000000.0
37,Comedy,53.0,5.4,5.4,74.0,53.0,24000000.0
38,Biography,82.0,7.5,7.5,93.0,82.0,18000000.0
39,Action,45.0,6.5,6.5,42.0,45.0,80000000.0
40,Action,64.0,6.7,6.7,79.0,64.0,100000000.0
